state,bill,session,status,taxonomy,tags
AK,SB2,2025,Proposed,II,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Risk Classification,Data Protection,Monitoring,Human-in-the-Loop,Pre-Market Review,Post-Market Review,Transparency,Meta/Biometric Data,Safety Standards"
AL,HB283,2025,Proposed,II,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Data Protection,Research,Consumer Protection,Transparency,Vulnerable Populations,Meta/Biometric Data"
AR,HB1726,2025,Failed,SR,"Civil Penalties,Disclosure/Consent,Data Protection,Monitoring,Consumer Protection,Transparency,Opt Out,Event Reporting,Vulnerable Populations,Special Purpose Entities,Safety Standards"
AR,HB1816,2025,Proposed,SR,"Practitioner Responsibilities,Payments/Insurance,Pre-Market Review"
AR,SB258,2025,Failed,SR,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Risk Classification,Data Protection,Practitioner Responsibilities,Monitoring,Research,Consumer Protection,Human-in-the-Loop,Post-Market Review,Transparency,Opt Out,Event Reporting,Vulnerable Populations,Meta/Biometric Data"
CA,AB1008,2024,Enacted,II,"Civil Penalties,Disclosure/Consent,Data Protection,Research,Consumer Protection,Transparency,Vulnerable Populations,Meta/Biometric Data"
CA,AB1018,2025,Proposed,E,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Risk Classification,Data Protection,Practitioner Responsibilities,Monitoring,Consumer Protection,Pre-Market Review,Post-Market Review,Transparency,Opt Out,Event Reporting,Safety Standards"
CA,AB1064,2025,Proposed,E,"Civil Penalties,Disclosure/Consent,Data Protection,Consumer Protection,Malpractice/Liability,Vulnerable Populations,Meta/Biometric Data"
CA,AB1242,2025,Proposed,II,"Practitioner Responsibilities,Human-in-the-Loop,Vulnerable Populations"
CA,AB1337,2025,Proposed,II,"Criminal Penalties,Disclosure/Consent,Data Protection,Research,Event Reporting,Meta/Biometric Data"
CA,AB2877,2024,Proposed,SR,"Civil Penalties,Disclosure/Consent,Data Protection,Vulnerable Populations,Safety Standards"
CA,AB2885,2024,Enacted,SR,"Discrimination/Bias,Risk Classification,Monitoring,Post-Market Review,Transparency"
CA,AB302,2023,Enacted,II,"Licensing Board Oversight,Discrimination/Bias,Risk Classification,Monitoring,Post-Market Review,Transparency"
CA,AB3030,2024,Enacted,SR,"Licensing Board Oversight,Disclosure/Consent,Practitioner Responsibilities"
CA,AB3211,2024,Proposed,II,"Civil Penalties,Disclosure/Consent,Monitoring,Research,Consumer Protection,Pre-Market Review,Post-Market Review,Transparency,Meta/Biometric Data"
CA,AB331,2024,Failed,E,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Risk Classification,Practitioner Responsibilities,Monitoring,Human-in-the-Loop,Post-Market Review,Transparency,Opt Out"
CA,AB489,2025,Proposed,SR,"Civil Penalties,Criminal Penalties,Licensing Board Oversight,Practitioner Responsibilities,Consumer Protection"
CA,SB1047,2024,Failed,II,"Civil Penalties,Data Protection,Monitoring,Consumer Protection,Post-Market Review,Transparency,Malpractice/Liability,Event Reporting,Special Purpose Entities,Safety Standards"
CA,SB1223,2024,Enacted,II,"Civil Penalties,Disclosure/Consent,Data Protection,Research,Consumer Protection,Transparency,Vulnerable Populations,Meta/Biometric Data"
CA,SB243,2025,Proposed,E,"Civil Penalties,Disclosure/Consent,Monitoring,Consumer Protection,Post-Market Review,Transparency,Event Reporting,Vulnerable Populations,Safety Standards"
CA,SB295,2025,Proposed,II,"Civil Penalties,Consumer Protection,Post-Market Review"
CA,SB420,2025,Proposed,E,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Risk Classification,Monitoring,Human-in-the-Loop,Post-Market Review,Transparency,Event Reporting"
CA,SB503,2025,Proposed,SR,"Discrimination/Bias,Practitioner Responsibilities,Monitoring,Post-Market Review"
CA,SB579,2025,Proposed,E,"Special Purpose Entities"
CO,SB205,2024,Enacted,SR,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Risk Classification,Data Protection,Practitioner Responsibilities,Monitoring,Research,Consumer Protection,Human-in-the-Loop,Post-Market Review,Transparency,Opt Out,Event Reporting,Vulnerable Populations"
CO,SB318,2025,Failed,SR,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Risk Classification,Data Protection,Monitoring,Consumer Protection,Human-in-the-Loop,Post-Market Review,Transparency,Event Reporting,Vulnerable Populations"
CT,HB06060,2025,Proposed,SR,"Disclosure/Consent,Discrimination/Bias,Data Protection,Monitoring,Post-Market Review,Transparency,Opt Out,Special Purpose Entities"
CT,SB00003,2023,Enacted,SR,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Data Protection,Research,Consumer Protection,Transparency,Vulnerable Populations"
FL,S7026,2025,Proposed,II,"Data Protection,Monitoring,Pilot/Sandbox,Event Reporting,Special Purpose Entities"
GA,HB887,2024,Proposed,SR,"Licensing Board Oversight,Payments/Insurance,Human-in-the-Loop"
GA,SB167,2025,Proposed,SR,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Risk Classification,Data Protection,Monitoring,Research,Consumer Protection,Human-in-the-Loop,Post-Market Review,Transparency,Event Reporting,Safety Standards"
HI,HB1566,2024,Proposed,SR,"Civil Penalties,Disclosure/Consent,Data Protection,Research,Consumer Protection,Transparency,Meta/Biometric Data"
HI,HB1607,2024,Proposed,SR,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Monitoring,Human-in-the-Loop,Pre-Market Review,Post-Market Review,Transparency,Meta/Biometric Data"
HI,HB2152,2024,Proposed,SR,"Disclosure/Consent,Discrimination/Bias,Risk Classification,Data Protection,Practitioner Responsibilities,Monitoring,Human-in-the-Loop,Pre-Market Review,Post-Market Review,Transparency,Opt Out,Pilot/Sandbox,Vulnerable Populations,Safety Standards"
HI,HB62,2025,Proposed,SR,"Civil Penalties,Monitoring,Human-in-the-Loop,Post-Market Review,Transparency,Event Reporting"
HI,SB2696,2024,Proposed,SR,"Disclosure/Consent,Data Protection,Research,Consumer Protection,Transparency,Vulnerable Populations,Meta/Biometric Data"
HI,SB640,2025,Proposed,II,"Civil Penalties,Disclosure/Consent,Consumer Protection"
IL,HB1806,2025,Proposed,E,"Civil Penalties,Licensing Board Oversight,Disclosure/Consent,Data Protection,Practitioner Responsibilities,Consumer Protection,Human-in-the-Loop,Meta/Biometric Data"
IL,HB3041,2025,Proposed,E,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Data Protection,Monitoring,Research,Consumer Protection,Post-Market Review,Transparency,Vulnerable Populations,Meta/Biometric Data,Safety Standards"
IL,HB5116,2025,Failed,E,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Monitoring,Human-in-the-Loop,Pre-Market Review,Post-Market Review,Transparency,Opt Out,Malpractice/Liability"
IL,HB5322,2025,Failed,E,"Civil Penalties,Discrimination/Bias,Data Protection,Monitoring,Human-in-the-Loop,Post-Market Review,Transparency,Safety Standards"
IL,HB5649,2025,Failed,E,"Civil Penalties,Licensing Board Oversight,Disclosure/Consent,Practitioner Responsibilities,Consumer Protection"
IL,SB2022,2025,Proposed,SR,"Civil Penalties,Practitioner Responsibilities,Human-in-the-Loop,Safety Standards"
IL,SB2203,2025,Proposed,E,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Monitoring,Consumer Protection,Human-in-the-Loop,Post-Market Review,Transparency,Opt Out"
IL,SB2259,2025,Proposed,E,"Civil Penalties,Licensing Board Oversight,Disclosure/Consent,Practitioner Responsibilities,Human-in-the-Loop,Opt Out"
IL,SB2273,2025,Proposed,E,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Data Protection,Research,Consumer Protection,Transparency,Vulnerable Populations"
IN,HB1620,2025,Proposed,E,"Disclosure/Consent,Practitioner Responsibilities,Payments/Insurance"
KY,HB724,2022,Proposed,II,"Civil Penalties,Disclosure/Consent,Data Protection,Monitoring,Consumer Protection,Payments/Insurance,Pre-Market Review,Pilot/Sandbox,Special Purpose Entities"
LA,HB114,2025,Proposed,SR,"Civil Penalties,Practitioner Responsibilities,Human-in-the-Loop"
LA,HB916,2024,Proposed,SR,"Licensing Board Oversight,Practitioner Responsibilities,Human-in-the-Loop"
MA,H1210,2025,Proposed,SR,"Disclosure/Consent,Discrimination/Bias,Monitoring,Payments/Insurance,Transparency"
MA,H1974,2024,Proposed,E,"Licensing Board Oversight,Disclosure/Consent,Practitioner Responsibilities,Monitoring,Human-in-the-Loop,Pre-Market Review,Opt Out,Safety Standards"
MA,H83,2024,Proposed,SR,"Civil Penalties,Criminal Penalties,Disclosure/Consent,Discrimination/Bias,Data Protection,Monitoring,Research,Consumer Protection,Post-Market Review,Transparency,Vulnerable Populations,Meta/Biometric Data"
MA,H94,2025,Proposed,SR,"Civil Penalties,Disclosure/Consent,Risk Classification,Monitoring,Consumer Protection,Post-Market Review,Transparency"
MA,H97,2025,Proposed,SR,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Risk Classification,Data Protection,Monitoring,Research,Consumer Protection,Human-in-the-Loop,Post-Market Review,Transparency,Opt Out,Event Reporting,Safety Standards"
