active_tags,bill,civil_penalties,consumer_protection,created_at,criminal_penalties,data_protection,disclosure_consent,discrimination_bias,event_reporting,human_in_the_loop,id,licensing_board_oversight,link,malpractice,meta_biometric_data,monitoring,opt_out,payments_insurance,pilot_sandbox,post_market_review,practitioner_responsibilities,pre_market_review,prescribing,research,risk_classification,safety_standards,session,special_purpose_entities,state,status,tag_count,taxonomy_code,transparency,vulnerable_populations
"['Civil Penalties', 'Disclosure/Consent', 'Discrimination/Bias', 'Risk Classification', 'Data Protection', 'Monitoring', 'Human-in-the-Loop', 'Pre-Market Review', 'Post-Market Review', 'Transparency', 'Meta/Biometric Data', 'Safety Standards']",SB2,True,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,True,True,False,True,15,False,https://legiscan.com/AK/bill/SB2/2025,False,True,True,False,False,False,True,False,True,False,False,True,True,2025,False,AK,Proposed,12,II,True,False
"['Civil Penalties', 'Disclosure/Consent', 'Discrimination/Bias', 'Data Protection', 'Research', 'Consumer Protection', 'Transparency', 'Vulnerable Populations', 'Meta/Biometric Data']",HB283,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,True,True,False,False,1,False,https://legiscan.com/AL/bill/HB283/2025,False,True,False,False,False,False,False,False,False,False,True,False,False,2025,False,AL,Proposed,9,II,True,True
"['Civil Penalties', 'Disclosure/Consent', 'Data Protection', 'Monitoring', 'Consumer Protection', 'Transparency', 'Opt Out', 'Event Reporting', 'Vulnerable Populations', 'Special Purpose Entities', 'Safety Standards']",HB1726,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,True,False,True,False,21,False,https://legiscan.com/AR/bill/HB1726/2025,False,False,True,True,False,False,False,False,False,False,False,False,True,2025,True,AR,Failed,11,SR,True,True
"['Practitioner Responsibilities', 'Payments/Insurance', 'Pre-Market Review']",HB1816,False,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,False,False,False,False,25,False,https://legiscan.com/AR/bill/HB1816/2025,False,False,False,False,True,False,False,True,True,False,False,False,False,2025,False,AR,Proposed,3,SR,False,False
"['Civil Penalties', 'Disclosure/Consent', 'Discrimination/Bias', 'Risk Classification', 'Data Protection', 'Practitioner Responsibilities', 'Monitoring', 'Research', 'Consumer Protection', 'Human-in-the-Loop', 'Post-Market Review', 'Transparency', 'Opt Out', 'Event Reporting', 'Vulnerable Populations', 'Meta/Biometric Data']",SB258,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,True,True,True,True,19,False,https://legiscan.com/AR/bill/SB258/2025,False,True,True,True,False,False,True,True,False,False,True,True,False,2025,False,AR,Failed,16,SR,True,True
"['Civil Penalties', 'Disclosure/Consent', 'Data Protection', 'Research', 'Consumer Protection', 'Transparency', 'Vulnerable Populations', 'Meta/Biometric Data']",AB1008,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,True,False,False,False,78,False,https://legiscan.com/CA/bill/AB1008/2025,False,True,False,False,False,False,False,False,False,False,True,False,False,2024,False,CA,Enacted,8,II,True,True
"['Civil Penalties', 'Disclosure/Consent', 'Discrimination/Bias', 'Risk Classification', 'Data Protection', 'Practitioner Responsibilities', 'Monitoring', 'Consumer Protection', 'Pre-Market Review', 'Post-Market Review', 'Transparency', 'Opt Out', 'Event Reporting', 'Safety Standards']",AB1018,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,True,True,True,False,30,False,https://legiscan.com/CA/bill/AB1018/2025,False,False,True,True,False,False,True,True,True,False,False,True,True,2025,False,CA,Proposed,14,E,True,False
"['Civil Penalties', 'Disclosure/Consent', 'Data Protection', 'Consumer Protection', 'Malpractice/Liability', 'Vulnerable Populations', 'Meta/Biometric Data']",AB1064,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,True,False,False,False,28,False,https://legiscan.com/CA/bill/AB1064/2025,True,True,False,False,False,False,False,False,False,False,False,False,False,2025,False,CA,Proposed,7,E,False,True
"['Practitioner Responsibilities', 'Human-in-the-Loop', 'Vulnerable Populations']",AB1242,False,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,False,False,False,True,91,False,https://legiscan.com/CA/bill/AB1242/2025,False,False,False,False,False,False,False,True,False,False,False,False,False,2025,False,CA,Proposed,3,II,False,True
"['Criminal Penalties', 'Disclosure/Consent', 'Data Protection', 'Research', 'Event Reporting', 'Meta/Biometric Data']",AB1337,False,False,"Tue, 08 Jul 2025 13:01:39 GMT",True,True,True,False,True,False,83,False,https://legiscan.com/CA/bill/AB1337/2025,False,True,False,False,False,False,False,False,False,False,True,False,False,2025,False,CA,Proposed,6,II,False,False
